Gryffindor	, [-3.61085522], [0.00360791], [0.57719885], [-1.57717775], [1.291602], [-0.25560727], [0.32505009], [-0.59898802], [-0.56119664], [-0.19487342], [0.17236112], [1.1151698], [0.23166469], [-0.26382655], [0.04245228], [0.03330559], [-0.43633863], [0.16978955], [-0.22956877], [-0.53298654], [0.64376368], [-0.18235226], [0.16006154]
Ravenclaw	, [-2.78605857], [-0.07152284], [-1.08077155], [1.03211724], [-0.28538885], [1.02682301], [0.90861867], [0.29909383], [0.07678644], [0.00110377], [0.58706325], [-0.21949791], [-0.22336316], [0.05222843], [-0.52909681], [-0.16045082], [-0.2288557], [0.86271964], [-0.04772839], [0.06703883], [-0.54941821], [-0.5334603], [0.10035961]
Hufflepuff	, [-2.68732934], [0.10309273], [2.29877779], [1.600481], [1.15709245], [-0.93456787], [-0.90945624], [0.63006978], [0.16624968], [0.3567533], [-0.30887115], [0.12212943], [-0.25528354], [-0.72932143], [-0.67850981], [-0.5272644], [-0.27412088], [-0.96381134], [0.0441868], [0.16044168], [-0.4912229], [0.28188173], [-0.51576813]
Slytherin	, [-3.88144135], [0.0828303], [-1.72593193], [-0.69122308], [-2.0827338], [-0.50543161], [-0.40685941], [0.0006944], [0.23374972], [0.50637312], [-0.19002402], [-0.57524071], [0.25730641], [0.02021808], [0.9545588], [0.47369766], [0.3934747], [-0.41778796], [-0.32379535], [0.20625448], [0.62764993], [0.17515611], [-0.18813871]
Gryffindor	, [-3.61085522], [0.00360791], [0.57719885], [-1.57717775], [1.291602], [-0.25560727], [0.32505009], [-0.59898802], [-0.56119664], [-0.19487342], [0.17236112], [1.1151698], [0.23166469], [-0.26382655], [0.04245228], [0.03330559], [-0.43633863], [0.16978955], [-0.22956877], [-0.53298654], [0.64376368], [-0.18235226], [0.16006154]
Ravenclaw	, [-2.78605857], [-0.07152284], [-1.08077155], [1.03211724], [-0.28538885], [1.02682301], [0.90861867], [0.29909383], [0.07678644], [0.00110377], [0.58706325], [-0.21949791], [-0.22336316], [0.05222843], [-0.52909681], [-0.16045082], [-0.2288557], [0.86271964], [-0.04772839], [0.06703883], [-0.54941821], [-0.5334603], [0.10035961]
Hufflepuff	, [-2.68732934], [0.10309273], [2.29877779], [1.600481], [1.15709245], [-0.93456787], [-0.90945624], [0.63006978], [0.16624968], [0.3567533], [-0.30887115], [0.12212943], [-0.25528354], [-0.72932143], [-0.67850981], [-0.5272644], [-0.27412088], [-0.96381134], [0.0441868], [0.16044168], [-0.4912229], [0.28188173], [-0.51576813]
Slytherin	, [-3.88144135], [0.0828303], [-1.72593193], [-0.69122308], [-2.0827338], [-0.50543161], [-0.40685941], [0.0006944], [0.23374972], [0.50637312], [-0.19002402], [-0.57524071], [0.25730641], [0.02021808], [0.9545588], [0.47369766], [0.3934747], [-0.41778796], [-0.32379535], [0.20625448], [0.62764993], [0.17515611], [-0.18813871]
Gryffindor	, [-4.37073491], [-0.42870298], [1.20791872], [-4.45816913], [2.53548124], [-1.56185459], [0.95254375], [0.68647362], [0.43329141], [-2.27698611], [1.35811547], [2.87806675], [0.76261333], [-0.00223166], [0.3790955], [-0.64076813], [-0.50646668], [0.1102894], [0.00076208], [0.39208734], [1.36259252], [-1.49994258], [-0.14820115]
Ravenclaw	, [-3.04690949], [-0.08678535], [-2.72483138], [3.17417506], [0.65257284], [1.8014234], [1.37860862], [0.67171051], [-0.00269838], [1.00931521], [-0.76340477], [-0.20857072], [-0.25908194], [0.01054993], [-0.78023313], [-0.08893309], [-0.37882572], [0.28132319], [-0.22306547], [0.03138224], [-0.87672467], [1.26676888], [0.75978192]
Hufflepuff	, [-2.97097114], [0.86989572], [2.01714944], [3.22185299], [1.51808622], [-0.5088844], [-1.47935657], [-0.48686147], [-0.9181342], [1.81156849], [-0.50163666], [-1.07101062], [-1.06369508], [-0.96670045], [-0.90207005], [-0.34235564], [-0.12557551], [-1.520494], [-0.22853605], [-0.76634612], [-0.7741485], [0.54670544], [-0.28886089]
Slytherin	, [-5.23149714], [-0.30385797], [-1.25385458], [-1.31983667], [-2.62472683], [-1.36289297], [-0.0805819], [-0.32363373], [-0.14042953], [0.44306257], [0.56392473], [-1.27967431], [0.67198036], [-0.13162598], [1.18710573], [0.33057674], [0.65612642], [-0.42563685], [-0.41350311], [-0.27948118], [0.70749276], [-0.73182515], [-2.52905396]
